[ 3492.237852] Proc Opened.
[ 3492.237862] Proc Wrote: 33333
[ 3518.347187] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.1; 224.0.0.1)]
[ 3518.429254] POST_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3518.429330] POST_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3518.430288] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3532.549357] PRE_ROUTING[(Non-TCP; 0; 0; 0.0.0.0; 255.255.255.255)]
[ 3532.866683] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.1; 255.255.255.255)]
[ 3532.866994] PRE_ROUTING[(Non-TCP; 0; 0; 0.0.0.0; 255.255.255.255)]
[ 3533.173920] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.1; 255.255.255.255)]
[ 3548.447283] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.1; 224.0.0.1)]
[ 3548.531832] POST_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3548.531908] POST_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3548.532696] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.5; 224.0.0.251)]
[ 3555.842015] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.2; 224.0.0.251)]
[ 3556.853763] PRE_ROUTING[(Non-TCP; 0; 0; 192.168.0.2; 224.0.0.251)]
[ 3557.982535] POST_ROUTING[(TCP; 46188; 33333; 192.168.0.5; 192.168.0.6)]
[ 3557.982613] POST_ROUTING[(TCP; 41970; 2222; 192.168.0.5; 192.168.0.6)]
[ 3557.982644] POST_ROUTING[(TCP; 60566; 1111; 192.168.0.5; 192.168.0.6)]
[ 3557.982716] POST_ROUTING[(TCP; 55106; 4444; 192.168.0.5; 192.168.0.6)]
[ 3557.982767] POST_ROUTING[(TCP; 44322; 5555; 192.168.0.5; 192.168.0.6)]
[ 3557.983190] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3557.983206] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3557.983230] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3557.983235] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3557.983258] PRE_ROUTING[(TCP; 2222; 41970; 192.168.0.6; 192.168.0.5)]
[ 3557.983279] POST_ROUTING[(TCP; 41970; 2222; 192.168.0.5; 192.168.0.6)]
[ 3557.983302] PRE_ROUTING[(TCP; 1111; 60566; 192.168.0.6; 192.168.0.5)]
[ 3557.983316] POST_ROUTING[(TCP; 60566; 1111; 192.168.0.5; 192.168.0.6)]
[ 3557.983338] PRE_ROUTING[(TCP; 4444; 55106; 192.168.0.6; 192.168.0.5)]
[ 3557.983352] POST_ROUTING[(TCP; 55106; 4444; 192.168.0.5; 192.168.0.6)]
[ 3557.983373] PRE_ROUTING[(TCP; 5555; 44322; 192.168.0.6; 192.168.0.5)]
[ 3557.983388] POST_ROUTING[(TCP; 44322; 5555; 192.168.0.5; 192.168.0.6)]
[ 3558.980869] POST_ROUTING[(TCP; 46188; 33333; 192.168.0.5; 192.168.0.6)]
[ 3558.981183] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3558.981200] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3558.981259] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3558.981263] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3559.981290] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3559.981318] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3559.981370] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3559.981374] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3561.108379] POST_ROUTING[(TCP; 46188; 33333; 192.168.0.5; 192.168.0.6)]
[ 3561.108662] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3561.108704] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3561.108737] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3561.108749] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3563.105957] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3563.105990] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3563.106026] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3563.106038] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3565.113238] POST_ROUTING[(TCP; 46188; 33333; 192.168.0.5; 192.168.0.6)]
[ 3565.113503] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3565.113531] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3565.113579] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3565.113583] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3569.113364] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3569.113392] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3569.113434] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3569.113438] POST_ROUTING[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
[ 3573.143617] POST_ROUTING[(TCP; 46188; 33333; 192.168.0.5; 192.168.0.6)]
[ 3573.143938] PRE_ROUTING[(TCP; 33333; 46188; 192.168.0.6; 192.168.0.5)]
[ 3573.143966] POST_ROUTING[(Non-TCP; 7777; 7777; 192.168.0.5; 192.168.0.6)]
[ 3573.143999] FORWARD[(TCP; 7777; 7777; 192.168.0.6; 131.1.1.0)]
